data,data de último acesso,id,turmaTrilha,atividadesFeitas,atividadesCorretas,atividadesGerais
2021-12-06,2021-12-07,566834,11400611,107.0,94.0,407.0
2021-12-06,2021-12-10,728296,1667016,98.0,94.0,405.0
2021-12-06,2021-12-06,738862,1671477,94.0,93.0,351.0
2021-12-06,2021-12-11,495519,"22900101,24900201",105.0,93.0,419.0
2021-12-06,2021-12-13,568804,11406411,103.0,93.0,415.0
2021-12-06,2021-12-10,856144,12404031,92.0,92.0,373.0
2021-12-06,2021-12-13,731462,1667786,95.0,92.0,399.0
2021-12-06,2021-12-13,580297,12403811,96.0,91.0,365.0
2021-12-06,2021-12-13,839869,12403931,92.0,91.0,336.0
2021-12-06,2021-12-07,576184,11413711,109.0,91.0,412.0
2021-12-06,2021-12-13,600364,"21400332,21403731",106.0,91.0,344.0
2021-12-06,2021-12-10,738462,1667833,104.0,90.0,416.0
2021-12-06,2021-12-11,594041,12406031,148.0,90.0,556.0
2021-12-06,2021-12-10,738212,1655791,112.0,90.0,425.0
2021-12-06,2021-12-10,727053,1690507,98.0,89.0,369.0
2021-12-06,2021-12-08,733249,1674409,91.0,89.0,323.0
2021-12-06,2021-12-12,730128,1667814,103.0,88.0,381.0
2021-12-06,2021-12-13,735024,1655834,86.0,86.0,324.0
2021-12-06,2021-12-14,590650,12401131,87.0,86.0,338.0
2021-12-06,2021-12-10,726131,1667016,87.0,86.0,337.0
2021-12-06,2021-12-13,738019,1667737,98.0,86.0,337.0
2021-12-06,2021-12-10,724677,1690507,87.0,85.0,318.0
2021-12-06,2021-12-12,724461,1664032,86.0,85.0,371.0
2021-12-06,2021-12-13,898172,24900301,119.0,84.0,329.0
2021-12-06,2021-12-14,597630,21400132,97.0,84.0,419.0
2021-12-06,2021-12-13,578743,12404011,95.0,83.0,399.0
2021-12-06,2021-12-06,594122,12406431,84.0,83.0,345.0
2021-12-06,2021-12-07,732585,1664773,84.0,83.0,346.0
2021-12-06,2021-12-14,588000,11400132,97.0,82.0,375.0
2021-12-06,2021-12-12,594676,12407131,97.0,82.0,363.0
2021-12-06,2021-12-10,737736,1667802,86.0,82.0,327.0
2021-12-06,2021-12-14,495601,21900101,84.0,82.0,362.0
2021-12-06,2021-12-10,727332,1664032,85.0,81.0,307.0
2021-12-06,2021-12-10,727681,1655652,86.0,81.0,326.0
2021-12-06,2021-12-13,898293,11901301,80.0,80.0,337.0
2021-12-06,2021-12-13,775670,"24900301,25900201",95.0,80.0,332.0
2021-12-06,2021-12-10,593044,12404011,83.0,80.0,290.0
2021-12-06,2021-12-09,733435,1662363,84.0,80.0,345.0
2021-12-06,2021-12-13,752260,1671504,83.0,80.0,312.0
2021-12-06,2021-12-12,724086,1664032,97.0,79.0,347.0
2021-12-06,2021-12-11,733339,1667066,83.0,79.0,359.0
2021-12-06,2021-12-09,733709,1667737,97.0,79.0,341.0
2021-12-06,2021-12-10,898275,23900401,91.0,79.0,356.0
2021-12-06,2021-12-13,603164,21407931,78.0,78.0,244.0
2021-12-06,2021-12-11,574466,11409811,79.0,78.0,273.0
2021-12-06,2021-12-08,736880,1670439,96.0,78.0,368.0
2021-12-06,2021-12-10,737911,1667077,91.0,77.0,341.0
2021-12-06,2021-12-14,839916,21404331,78.0,77.0,192.0
2021-12-06,2021-12-10,729505,1708973,80.0,77.0,285.0
2021-12-06,2021-12-14,594174,12405531,95.0,77.0,343.0
2021-12-06,2021-12-13,586784,11405731,93.0,76.0,356.0
2021-12-06,2021-12-14,495683,22900301,75.0,75.0,384.0
2021-12-06,2021-12-08,582433,12406311,75.0,75.0,305.0
2021-12-06,2021-12-08,591033,12401031,99.0,75.0,356.0
2021-12-06,2021-12-13,567337,11400211,77.0,75.0,312.0
2021-12-06,2021-12-10,724475,1690507,76.0,75.0,294.0
2021-12-06,2021-12-06,737270,1671477,79.0,74.0,313.0
2021-12-06,2021-12-13,727779,1667734,81.0,74.0,282.0
2021-12-06,2021-12-08,725992,1667717,78.0,73.0,271.0
2021-12-06,2021-12-09,836312,1667726,83.0,73.0,306.0
2021-12-06,2021-12-08,773316,11400611,75.0,73.0,255.0
2021-12-06,2021-12-10,897971,23900401,82.0,73.0,330.0
2021-12-06,2021-12-08,724788,1664084,86.0,72.0,320.0
2021-12-06,2021-12-14,856066,11405131,73.0,72.0,311.0
2021-12-06,2021-12-14,610150,25401331,71.0,71.0,194.0
2021-12-06,2021-12-13,566786,11400811,75.0,71.0,337.0
2021-12-06,2021-12-13,584979,"11400132,11405231",80.0,71.0,321.0
2021-12-06,2021-12-13,587481,11400232,72.0,71.0,316.0
2021-12-06,2021-12-07,724408,1694210,71.0,71.0,273.0
2021-12-06,2021-12-11,596505,12409931,72.0,71.0,301.0
2021-12-06,2021-12-12,611077,25401531,73.0,70.0,224.0
2021-12-06,2021-12-11,587847,11400133,71.0,70.0,244.0
2021-12-06,2021-12-10,729151,1663853,84.0,70.0,315.0
2021-12-06,2021-12-13,592397,12404031,98.0,70.0,397.0
2021-12-06,2021-12-10,597181,12409931,71.0,70.0,300.0
2021-12-06,2021-12-10,735773,1667814,206.0,70.0,801.0
2021-12-06,2021-12-13,844380,12409631,70.0,70.0,265.0
2021-12-06,2021-12-06,735012,1671087,71.0,70.0,270.0
2021-12-06,2021-12-10,727489,1708973,72.0,69.0,253.0
2021-12-06,2021-12-07,730234,1671547,69.0,69.0,245.0
2021-12-06,2021-12-10,726680,1663853,85.0,69.0,357.0
2021-12-06,2021-12-07,593232,12403931,70.0,69.0,296.0
2021-12-06,2021-12-10,737364,1667042,71.0,69.0,311.0
2021-12-06,2021-12-06,735688,1671477,71.0,69.0,281.0
2021-12-06,2021-12-07,729900,1667745,78.0,68.0,326.0
2021-12-06,2021-12-09,837471,25401331,86.0,68.0,309.0
2021-12-06,2021-12-10,731036,1667737,79.0,68.0,314.0
2021-12-06,2021-12-13,579016,12403811,75.0,68.0,300.0
2021-12-06,2021-12-09,725085,1667712,70.0,68.0,266.0
2021-12-06,2021-12-13,736616,1655834,70.0,67.0,307.0
2021-12-06,2021-12-07,567992,11412611,69.0,67.0,277.0
2021-12-06,2021-12-13,733062,1667833,82.0,67.0,369.0
2021-12-06,2021-12-06,734889,1671477,74.0,67.0,243.0
2021-12-06,2021-12-08,736203,1655834,69.0,66.0,263.0
2021-12-06,2021-12-13,855961,21403331,67.0,66.0,331.0
2021-12-06,2021-12-13,577452,12400111,73.0,66.0,284.0
2021-12-06,2021-12-08,861848,1664084,69.0,66.0,238.0
2021-12-06,2021-12-13,592220,12409631,67.0,66.0,294.0
2021-12-06,2021-12-13,768647,"1688769,25401131",69.0,66.0,219.0
2021-12-06,2021-12-07,602829,21400731,74.0,66.0,202.0
2021-12-06,2021-12-07,839173,25400931,70.0,66.0,202.0
2021-12-06,2021-12-09,865230,21407931,70.0,65.0,314.0
2021-12-06,2021-12-13,568810,11402811,65.0,65.0,238.0
2021-12-06,2021-12-06,735401,1679277,70.0,65.0,278.0
2021-12-06,2021-12-08,738893,1670439,72.0,65.0,279.0
2021-12-06,2021-12-11,602296,21400432,77.0,65.0,331.0
2021-12-06,2021-12-09,569548,11402611,67.0,64.0,232.0
2021-12-06,2021-12-07,731779,1671547,65.0,64.0,271.0
2021-12-06,2021-12-08,730003,1671477,69.0,64.0,221.0
2021-12-06,2021-12-13,838279,21400132,64.0,64.0,138.0
2021-12-06,2021-12-13,872638,22900301,66.0,64.0,241.0
2021-12-06,2021-12-13,838293,11410611,76.0,64.0,253.0
2021-12-06,2021-12-09,592179,12403031,67.0,64.0,232.0
2021-12-06,2021-12-13,600558,21403931,66.0,64.0,245.0
2021-12-06,2021-12-12,591358,12405731,64.0,63.0,289.0
2021-12-06,2021-12-13,599486,21402631,64.0,63.0,268.0
2021-12-06,2021-12-08,733983,1655791,65.0,63.0,284.0
2021-12-06,2021-12-13,579406,12402911,63.0,63.0,242.0
2021-12-06,2021-12-14,627995,25900301,63.0,63.0,207.0
2021-12-06,2021-12-07,736401,1674940,63.0,63.0,193.0
2021-12-06,2021-12-06,736412,1671477,74.0,63.0,256.0
2021-12-06,2021-12-13,592773,12403931,62.0,62.0,225.0
2021-12-06,2021-12-07,736630,1664773,64.0,62.0,208.0
2021-12-06,2021-12-13,594815,12407531,68.0,62.0,245.0
2021-12-06,2021-12-10,596805,12409331,62.0,62.0,258.0
2021-12-06,2021-12-08,733025,1689405,66.0,61.0,258.0
2021-12-06,2021-12-10,576850,12400113,67.0,61.0,225.0
2021-12-06,2021-12-10,725773,1708973,63.0,61.0,253.0
2021-12-06,2021-12-13,838502,11414211,61.0,61.0,201.0
2021-12-06,2021-12-13,599401,21402531,62.0,61.0,336.0
2021-12-06,2021-12-13,844413,22403531,67.0,60.0,271.0
2021-12-06,2021-12-13,898135,11901501,64.0,60.0,272.0
2021-12-06,2021-12-14,838918,11413711,60.0,60.0,256.0
2021-12-06,2021-12-10,729237,1708973,60.0,60.0,231.0
2021-12-06,2021-12-07,728830,1694210,60.0,59.0,231.0
2021-12-06,2021-12-13,597861,21400631,60.0,59.0,240.0
2021-12-06,2021-12-07,733535,1674940,69.0,59.0,242.0
2021-12-06,2021-12-09,735128,1667737,67.0,58.0,264.0
2021-12-06,2021-12-06,729822,1671477,61.0,58.0,223.0
2021-12-06,2021-12-13,593481,12406031,58.0,58.0,197.0
2021-12-06,2021-12-14,570462,11406411,58.0,58.0,236.0
2021-12-06,2021-12-07,730293,1674940,71.0,58.0,294.0
2021-12-06,2021-12-09,733326,1671477,63.0,58.0,310.0
2021-12-06,2021-12-10,587974,11404431,59.0,57.0,221.0
2021-12-06,2021-12-13,835536,21403631,61.0,57.0,248.0
2021-12-06,2021-12-07,737703,1671547,60.0,57.0,239.0
2021-12-06,2021-12-07,723792,1694210,67.0,57.0,268.0
2021-12-06,2021-12-07,726265,1694210,57.0,56.0,221.0
2021-12-06,2021-12-07,732005,1674940,66.0,56.0,239.0
2021-12-06,2021-12-13,591222,12400731,56.0,56.0,234.0
2021-12-06,2021-12-08,602088,21405731,62.0,56.0,252.0
2021-12-06,2021-12-13,591608,12405731,57.0,56.0,243.0
2021-12-06,2021-12-10,728669,1708973,72.0,56.0,310.0
2021-12-06,2021-12-06,730731,1671477,67.0,56.0,266.0
2021-12-06,2021-12-13,838381,12407931,57.0,56.0,189.0
2021-12-06,2021-12-14,838478,11407711,58.0,56.0,272.0
2021-12-06,2021-12-06,736890,1671087,59.0,56.0,204.0
2021-12-06,2021-12-08,725753,1664084,56.0,56.0,193.0
2021-12-06,2021-12-08,856207,12409731,63.0,55.0,253.0
2021-12-06,2021-12-09,735250,1662923,65.0,55.0,270.0
2021-12-06,2021-12-10,723956,1664032,64.0,55.0,199.0
2021-12-06,2021-12-13,606361,22400931,55.0,55.0,199.0
2021-12-06,2021-12-07,728329,1694210,55.0,55.0,182.0
2021-12-06,2021-12-13,732994,1667802,61.0,55.0,196.0
2021-12-06,2021-12-13,834860,24400211,60.0,54.0,233.0
2021-12-06,2021-12-13,591294,12401831,56.0,54.0,225.0
2021-12-06,2021-12-13,845258,12409631,54.0,53.0,231.0
2021-12-06,2021-12-11,844661,12409531,56.0,53.0,195.0
2021-12-06,2021-12-13,596790,12409731,53.0,53.0,199.0
2021-12-06,2021-12-13,837032,11402611,62.0,53.0,221.0
2021-12-06,2021-12-06,729798,1671477,62.0,53.0,256.0
2021-12-06,2021-12-10,723804,1708973,54.0,53.0,219.0
2021-12-06,2021-12-13,898310,11901501,53.0,52.0,193.0
2021-12-06,2021-12-13,865103,21407931,61.0,52.0,210.0
2021-12-06,2021-12-13,835878,21403731,52.0,52.0,233.0
2021-12-06,2021-12-13,880056,12405631,52.0,52.0,219.0
2021-12-06,2021-12-13,583152,21401011,56.0,52.0,174.0
2021-12-06,2021-12-10,590076,12409431,59.0,52.0,237.0
2021-12-06,2021-12-07,725008,1694210,52.0,51.0,208.0
2021-12-06,2021-12-10,724263,1663853,60.0,51.0,214.0
2021-12-06,2021-12-06,730684,1671477,60.0,51.0,216.0
2021-12-06,2021-12-07,729145,1694210,52.0,51.0,168.0
2021-12-06,2021-12-14,607943,24401831,59.0,50.0,166.0
2021-12-06,2021-12-06,589793,12409331,51.0,50.0,215.0
2021-12-06,2021-12-13,581089,12404911,54.0,50.0,186.0
2021-12-06,2021-12-13,514802,24400431,53.0,50.0,215.0
2021-12-06,2021-12-13,725143,1667726,52.0,49.0,209.0
2021-12-06,2021-12-09,588052,11404131,49.0,49.0,167.0
2021-12-06,2021-12-11,493093,25401431,50.0,49.0,135.0
2021-12-06,2021-12-09,593735,12405331,50.0,49.0,208.0
2021-12-06,2021-12-13,597849,21400133,49.0,49.0,156.0
2021-12-06,2021-12-13,594427,12407131,50.0,49.0,222.0
2021-12-06,2021-12-13,594853,12406531,50.0,49.0,180.0
2021-12-06,2021-12-07,727388,1694210,50.0,49.0,218.0
2021-12-06,2021-12-07,596252,12408031,49.0,49.0,193.0
2021-12-06,2021-12-09,733650,1674905,58.0,48.0,288.0
2021-12-06,2021-12-08,730786,1674409,51.0,48.0,206.0
2021-12-06,2021-12-08,496016,25900101,61.0,48.0,150.0
2021-12-06,2021-12-10,602171,21400432,56.0,48.0,167.0
2021-12-06,2021-12-13,898205,23900401,48.0,48.0,136.0
2021-12-06,2021-12-07,601531,21405731,54.0,48.0,223.0
2021-12-06,2021-12-07,733160,1667745,52.0,48.0,215.0
2021-12-06,2021-12-11,732778,1671477,58.0,48.0,204.0
2021-12-06,2021-12-13,496405,24900301,48.0,48.0,136.0
2021-12-06,2021-12-10,727952,1708973,59.0,48.0,197.0
2021-12-06,2021-12-10,728239,1708973,49.0,48.0,205.0
2021-12-06,2021-12-13,572131,11407711,52.0,48.0,214.0
2021-12-06,2021-12-13,592116,12402931,51.0,47.0,242.0
